12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): header.header > a.header__heading-link > img.header__heading-logo → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): #swiper-wrapper-b5ce10d761042b4595 > div.swiper-slide > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-images-thumbs > div.product-thumb > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-images-thumbs > div.product-thumb > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-images-thumbs > div.product-thumb > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-images-thumbs > div.product-thumb > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-images-thumbs > div.product-thumb > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.product-images-thumbs > div.product-thumb > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): div.rv-item > a > img.tw-w-32 → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.lazyload → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.motion-reduce → +25
[12:58:48 AM] 🔒 SAVED SELECTOR MATCH (MEDIUM): a.full-unstyled-link > div.media > img.motion-reduce → +25
